id,Home team,Home team score, Host team,Host team score,Home team win odd,Draw odd,Host team win odd,Event result type,leaguelink,season
0x5CE830BB6C7745EDB760C49490A0881B00000000000000000000000000000000,Stoke,0,Liverpool,1,3.750,3.420,2.100,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x5E61B1C33EBA466B87B1431C082C5A0F00000000000000000000000000000000,Arsenal,2,Leicester,1,1.680,4.190,4.980,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x5E930663DD2D4E62AAB65BDBF60B3EFB00000000000000000000000000000000,Liverpool,1,Chelsea,1,1.680,4.310,4.720,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x5F06A48D050E41EA85FC48A60491FAE400000000000000000000000000000000,Swansea,2,Bournemouth,2,2.250,3.320,3.460,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x5F6F67927E704FB0B15C98A05F3E9E6F00000000000000000000000000000000,Watford,1,Everton,1,3.470,3.410,2.190,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x60F3AECB21B443418F697E72B3F9DA9B00000000000000000000000000000000,Southampton,1,West Ham,0,1.710,3.780,5.320,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6156A4A496554A7DB97E73034F057DF000000000000000000000000000000000,Aston Villa,2,Southampton,4,6.790,4.140,1.540,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x6188046992BB41679904D7A7BF460DA400000000000000000000000000000000,Arsenal,3,Manchester Utd,0,2.020,3.750,3.700,0,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x61D026030690459C8A28D92ECBE2313000000000000000000000000000000000,Watford,1,Manchester Utd,2,3.990,3.300,2.080,2,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
0x61F387190BB1496EBDB166BF67A5995000000000000000000000000000000000,Chelsea,2,West Brom,2,1.450,4.400,8.510,1,https://www.oddsportal.com/soccer/england/premier-league-2015-2016/results/,2015/2016
